x,y,value
0.0,0.15,-15895057508366.246
1.0,0.287,-15895057508366.389
0.0,0.4,-15895057508366.41
0.0,0.9,-15895057508366.479
0.4,0.0,-15895057508366.383
0.4,0.25,-15895057508366.457
0.4,0.5,-15895057508366.473
0.5,0.7,-15895057508366.475
0.5,0.2,-15895057508366.424
0.9,0.3,-15895057508366.402
0.9,0.8,-15895057508366.457
0.3,0.3,-15895057508366.484
0.3,0.8,-15895057508366.48
0.113,0.7,-15895057508366.459
0.287,0.3,-15895057508366.486
0.25,0.4,-15895057508366.475
0.8,0.0,-15895057508366.35
0.8,0.25,-15895057508366.389
0.8,0.5,-15895057508366.441
0.5,0.287,-15895057508366.443
0.287,0.8,-15895057508366.482
0.25,0.9,-15895057508366.482
0.113,1.0,-15895057508366.48
0.2,0.0,-15895057508366.273
0.2,0.5,-15895057508366.463
0.6,0.2,-15895057508366.4
0.9,1.0,-15895057508366.46
0.1,0.3,-15895057508366.365
0.7,0.15,-15895057508366.361
0.7,0.4,-15895057508366.438
0.7,0.9,-15895057508366.467
0.1,0.8,-15895057508366.479
0.3,1.0,-15895057508366.482
0.113,0.287,-15895057508366.365
0.287,1.0,-15895057508366.484
1.0,0.3,-15895057508366.39
0.15,0.6,-15895057508366.443
0.9,0.287,-15895057508366.398
0.6,0.6,-15895057508366.46
0.15,0.1,-15895057508366.242
1.0,0.8,-15895057508366.453
0.15,0.113,-15895057508366.242
0.6,0.113,-15895057508366.38
0.3,0.287,-15895057508366.48
0.1,1.0,-15895057508366.482
0.0,0.0,-15895057508366.232
0.0,0.25,-15895057508366.291
0.0,0.5,-15895057508366.436
0.4,0.6,-15895057508366.475
0.4,0.1,-15895057508366.402
0.5,0.3,-15895057508366.443
0.9,0.15,-15895057508366.36
0.1,0.287,-15895057508366.314
0.9,0.4,-15895057508366.42
0.5,0.8,-15895057508366.475
0.9,0.9,-15895057508366.459
0.3,0.15,-15895057508366.441
0.3,0.4,-15895057508366.477
0.3,0.9,-15895057508366.486
0.287,0.15,-15895057508366.428
0.113,0.3,-15895057508366.412
0.25,0.0,-15895057508366.3
0.8,0.6,-15895057508366.45
0.287,0.4,-15895057508366.475
0.25,0.5,-15895057508366.47
0.8,0.1,-15895057508366.352
0.113,0.8,-15895057508366.482
0.287,0.9,-15895057508366.484
0.8,0.113,-15895057508366.355
0.2,0.6,-15895057508366.455
0.2,0.1,-15895057508366.26
0.6,0.3,-15895057508366.426
0.5,1.0,-15895057508366.473
0.6,0.8,-15895057508366.469
0.1,0.15,-15895057508366.234
0.7,0.0,-15895057508366.352
0.7,0.25,-15895057508366.404
0.1,0.4,-15895057508366.43
0.1,0.9,-15895057508366.477
0.7,0.5,-15895057508366.45
1.0,0.15,-15895057508366.361
0.15,0.7,-15895057508366.457
1.0,0.4,-15895057508366.414
0.6,0.7,-15895057508366.467
1.0,0.9,-15895057508366.455
0.15,1.0,-15895057508366.48
0.6,1.0,-15895057508366.469
0.0,0.6,-15895057508366.447
0.4,0.7,-15895057508366.475
